country,times,win,goals,rate of winning,Average goal
Belgium,48,20,68,0.4166666666666667,1.4166666666666667
France,66,34,120,0.5151515151515151,1.8181818181818181
Brazil,109,73,229,0.6697247706422018,2.1009174311926606
Peru,18,5,21,0.2777777777777778,1.1666666666666667
Argentina,81,43,137,0.5308641975308642,1.691358024691358
Chile,33,11,40,0.3333333333333333,1.2121212121212122
Bolivia,6,0,1,0.0,0.16666666666666666
Paraguay,27,7,30,0.25925925925925924,1.1111111111111112
Uruguay,56,24,87,0.42857142857142855,1.5535714285714286
Austria,29,12,43,0.41379310344827586,1.4827586206896552
Czechoslovakia,30,11,44,0.36666666666666664,1.4666666666666666
Egypt,7,0,5,0.0,0.7142857142857143
Italy,83,45,128,0.5421686746987951,1.5421686746987953
Netherlands,50,27,86,0.54,1.72
Germany,109,67,226,0.6146788990825688,2.073394495412844
Cuba,3,1,5,0.3333333333333333,1.6666666666666667
Hungary,32,15,87,0.46875,2.71875
Spain,63,30,99,0.47619047619047616,1.5714285714285714
Switzerland,37,12,50,0.32432432432432434,1.3513513513513513
Mexico,57,16,60,0.2807017543859649,1.0526315789473684
England,69,29,91,0.42028985507246375,1.318840579710145
Sweden,51,19,80,0.37254901960784315,1.5686274509803921
Scotland,23,4,25,0.17391304347826086,1.0869565217391304
Korea Republic,34,6,34,0.17647058823529413,1.0
Colombia,22,9,32,0.4090909090909091,1.4545454545454546
Russia,45,19,77,0.4222222222222222,1.711111111111111
Bulgaria,26,3,22,0.11538461538461539,0.8461538461538461
Korea DPR,7,1,6,0.14285714285714285,0.8571428571428571
Portugal,30,14,49,0.4666666666666667,1.6333333333333333
Israel,3,0,1,0.0,0.3333333333333333
Morocco,16,2,14,0.125,0.875
El Salvador,6,0,1,0.0,0.16666666666666666
Congo DR,3,0,0,0.0,0.0
German DR,6,2,5,0.3333333333333333,0.8333333333333334
Poland,34,16,46,0.47058823529411764,1.3529411764705883
Yugoslavia,33,14,55,0.42424242424242425,1.6666666666666667
Haiti,3,0,2,0.0,0.6666666666666666
Australia,16,2,13,0.125,0.8125
Iran,15,2,9,0.13333333333333333,0.6
Algeria,13,3,13,0.23076923076923078,1.0
Honduras,9,0,3,0.0,0.3333333333333333
Canada,3,0,0,0.0,0.0
Northern Ireland,13,3,13,0.23076923076923078,1.0
Denmark,20,9,30,0.45,1.5
Iraq,3,0,1,0.0,0.3333333333333333
United Arab Emirates,3,0,2,0.0,0.6666666666666666
USA,33,8,37,0.24242424242424243,1.121212121212121
Costa Rica,18,5,19,0.2777777777777778,1.0555555555555556
Cameroon,23,4,18,0.17391304347826086,0.782608695652174
Ireland,13,2,10,0.15384615384615385,0.7692307692307693
Norway,8,2,7,0.25,0.875
Nigeria,21,6,23,0.2857142857142857,1.0952380952380953
Romania,21,8,30,0.38095238095238093,1.4285714285714286
Saudi Arabia,16,3,11,0.1875,0.6875
Greece,10,2,5,0.2,0.5
Jamaica,3,1,3,0.3333333333333333,1.0
Serbia,13,4,11,0.3076923076923077,0.8461538461538461
South Africa,9,2,11,0.2222222222222222,1.2222222222222223
Japan,21,5,20,0.23809523809523808,0.9523809523809523
Croatia,23,11,35,0.4782608695652174,1.5217391304347827
China,3,0,0,0.0,0.0
Tunisia,15,2,13,0.13333333333333333,0.8666666666666667
Senegal,8,3,11,0.375,1.375
Slovenia,6,1,5,0.16666666666666666,0.8333333333333334
Ecuador,10,4,10,0.4,1.0
Turkey,10,5,20,0.5,2.0
Trinidad and Tobago,3,0,0,0.0,0.0
Angola,3,0,1,0.0,0.3333333333333333
Czech Republic,3,1,3,0.3333333333333333,1.0
Togo,3,0,1,0.0,0.3333333333333333
Ivory Coast,9,3,13,0.3333333333333333,1.4444444444444444
Ghana,12,4,13,0.3333333333333333,1.0833333333333333
Ukraine,5,2,5,0.4,1.0
New Zealand,6,0,4,0.0,0.6666666666666666
Slovakia,4,1,5,0.25,1.25
Bosnia-Herzegovina,3,1,4,0.3333333333333333,1.3333333333333333
Iceland,3,0,2,0.0,0.6666666666666666
Panama,3,0,2,0.0,0.6666666666666666
Indonesia,1,0,0,0.0,0.0
Wales,5,1,4,0.2,0.8
Kuwait,3,0,2,0.0,0.6666666666666666
